Dry Bulb  Temperature (¢J),Relative Humidity (%),Wind Speed (m/s),Solar Radiation (W/m2),Calculated Wet Bulb Temperature (¢J),Calculated Globe Temperature (¢J),WBGT_out (¢J)
29.856369,68.22419355,2.076580645,631.3409235,26.1,39.6,29.2
30.556946,68.22419355,2.076580645,631.3409235,26.8,40.3,29.8
30.449693,68.22419355,2.076580645,631.3409235,26.6,40.2,29.7
30.449693,68.22419355,2.076580645,631.3409235,26.6,40.2,29.7
30.556946,68.22419355,2.076580645,631.3409235,26.8,40.3,29.8
30.556946,68.22419355,2.076580645,631.3409235,26.8,40.3,29.8
30.556946,68.22419355,2.076580645,631.3409235,26.8,40.3,29.8
20.794699,68.22419355,2.076580645,631.3409235,18.3,30.2,20.9
30.274946,74.1046147,3.595022081,608.1225589,27.1,37.9,29.6
30.274946,74.1046147,3.595022081,608.1225589,27.1,37.9,29.6
27.443805,74.1046147,3.595022081,608.1225589,24.6,35,26.9
30.274946,74.1046147,3.595022081,608.1225589,27.1,37.9,29.6
30.274946,74.1046147,3.595022081,608.1225589,27.1,37.9,29.6
29.522088,74.1046147,3.595022081,608.1225589,26.4,37.1,28.9
30.213088,74.1046147,3.595022081,608.1225589,27,37.8,29.5
30.274946,74.1046147,3.595022081,608.1225589,27.1,37.9,29.6
29.522088,74.1046147,3.595022081,608.1225589,26.4,37.1,28.9
29.522088,74.1046147,3.595022081,608.1225589,26.4,37.1,28.9
30.001082,74.1046147,3.595022081,608.1225589,26.9,37.6,29.3
30.645635,74.1046147,3.595022081,608.1225589,27.4,38.3,29.9
30.645635,74.1046147,3.595022081,608.1225589,27.4,38.3,29.9
30.213088,74.1046147,3.595022081,608.1225589,27,37.8,29.5
31.0833015,74.1046147,3.595022081,608.1225589,27.8,38.7,30.3
30.645635,74.1046147,3.595022081,608.1225589,27.4,38.3,29.9
30.645635,74.1046147,3.595022081,608.1225589,27.4,38.3,29.9
30.099597,74.1046147,3.595022081,608.1225589,26.9,37.7,29.4
30.213088,74.1046147,3.595022081,608.1225589,27,37.8,29.5
30.213088,74.1046147,3.595022081,608.1225589,27,37.8,29.5
30.213088,74.1046147,3.595022081,608.1225589,27,37.8,29.5
30.001082,74.1046147,3.595022081,608.1225589,26.9,37.6,29.3
30.001082,74.1046147,3.595022081,608.1225589,26.9,37.6,29.3
29.522088,74.1046147,3.595022081,608.1225589,26.4,37.1,28.9
29.501427,74.1046147,3.595022081,608.1225589,26.4,37.1,28.9
29.501427,74.1046147,3.595022081,608.1225589,26.4,37.1,28.9
30.717755,74.1046147,3.595022081,608.1225589,27.5,38.4,30
30.099597,74.1046147,3.595022081,608.1225589,26.9,37.7,29.4
29.833882,74.1046147,3.595022081,608.1225589,26.7,37.4,29.2
29.833882,74.1046147,3.595022081,608.1225589,26.7,37.4,29.2
30.219416,74.1046147,3.595022081,608.1225589,27.1,37.8,29.5
30.717755,74.1046147,3.595022081,608.1225589,27.5,38.4,30
30.717755,74.1046147,3.595022081,608.1225589,27.5,38.4,30
30.717755,74.1046147,3.595022081,608.1225589,27.5,38.4,30
30.099597,74.1046147,3.595022081,608.1225589,26.9,37.7,29.4
30.717755,74.1046147,3.595022081,608.1225589,27.5,38.4,30
30.717755,74.1046147,3.595022081,608.1225589,27.5,38.4,30
