Dry Bulb  Temperature (¢J),Relative Humidity (%),Wind Speed (m/s),Solar Radiation (W/m2),Calculated Wet Bulb Temperature (¢J),Calculated Globe Temperature (¢J),WBGT_out (¢J),Calculated Wet Bulb Temperature (¢J),Calculated Globe Temperature (¢J),WBGT_out (¢J),Calculated Wet Bulb Temperature (¢J),Calculated Globe Temperature (¢J),WBGT_out (¢J),Calculated Wet Bulb Temperature (¢J),Calculated Globe Temperature (¢J),WBGT_out (¢J),Calculated Wet Bulb Temperature (¢J),Calculated Globe Temperature (¢J),WBGT_out (¢J),Calculated Wet Bulb Temperature (¢J),Calculated Globe Temperature (¢J),WBGT_out (¢J),Calculated Wet Bulb Temperature (¢J),Calculated Globe Temperature (¢J),WBGT_out (¢J)
24.165982,79.34790374,0.908132719,561.6296296,23.19862794,35.60115492,25.77586874,,,,,,,,,,,,,,,,,,
24.614107,79.34790374,0.908132719,561.6296296,23.59421404,36.0648586,26.19033225,,,,,,,,,,,,,,,,,,
24.614107,79.34790374,0.908132719,561.6296296,23.59421404,36.0648586,26.19033225,,,,,,,,,,,,,,,,,,
24.614107,79.34790374,0.908132719,561.6296296,23.59421404,36.0648586,26.19033225,,,,,,,,,,,,,,,,,,
24.614107,79.34790374,0.908132719,561.6296296,23.59421404,36.0648586,26.19033225,,,,,,,,,,,,,,,,,,
15.6513095,79.34790374,0.908132719,561.6296296,15.66364369,26.87127924,17.90393738,,,,,,,,,,,,,,,,,,
15.29270925,79.34790374,0.908132719,561.6296296,15.35007046,26.5047445,17.57526915,,,,,,,,,,,,,,,,,,
27.727402,72.16115105,3.331352381,762.2804233,24.77415581,37.550929,27.62483507,,,,,,,,,,,,,,,,,,
30.821162,72.16115105,3.331352381,762.2804233,27.50489972,40.73944463,30.48343493,,,,,,,,,,,,,,,,,,
30.821162,72.16115105,3.331352381,762.2804233,27.50489972,40.73944463,30.48343493,,,,,,,,,,,,,,,,,,
30.821162,72.16115105,3.331352381,762.2804233,27.50489972,40.73944463,30.48343493,,,,,,,,,,,,,,,,,,
30.821162,72.16115105,3.331352381,762.2804233,27.50489972,40.73944463,30.48343493,,,,,,,,,,,,,,,,,,
30.373372,72.16115105,3.331352381,762.2804233,27.11139416,40.2772354,30.07076019,,,,,,,,,,,,,,,,,,
25.198233,72.16115105,3.331352381,762.2804233,22.53459195,34.97463885,25.28896543,,,,,,,,,,,,,,,,,,
30.821162,72.16115105,3.331352381,762.2804233,27.50489972,40.73944463,30.48343493,,,,,,,,,,,,,,,,,,
30.821162,72.16115105,3.331352381,762.2804233,27.50489972,40.73944463,30.48343493,,,,,,,,,,,,,,,,,,
29.347161,72.16115105,3.331352381,762.2804233,26.19357552,39.21888569,29.1139961,,,,,,,,,,,,,,,,,,
30.821162,72.16115105,3.331352381,762.2804233,27.50489972,40.73944463,30.48343493,,,,,,,,,,,,,,,,,,
30.04259,72.16115105,3.331352381,762.2804233,26.82113647,39.93595672,29.76624587,,,,,,,,,,,,,,,,,,
30.04259,72.16115105,3.331352381,762.2804233,26.82113647,39.93595672,29.76624587,,,,,,,,,,,,,,,,,,
30.373372,72.16115105,3.331352381,762.2804233,27.11139416,40.2772354,30.07076019,,,,,,,,,,,,,,,,,,
30.821162,72.16115105,3.331352381,762.2804233,27.50489972,40.73944463,30.48343493,,,,,,,,,,,,,,,,,,
30.373372,72.16115105,3.331352381,762.2804233,27.11139416,40.2772354,30.07076019,,,,,,,,,,,,,,,,,,
30.373372,72.16115105,3.331352381,762.2804233,27.11139416,40.2772354,30.07076019,,,,,,,,,,,,,,,,,,
30.373372,72.16115105,3.331352381,762.2804233,27.11139416,40.2772354,30.07076019,,,,,,,,,,,,,,,,,,
30.028272,72.16115105,3.331352381,762.2804233,26.80858081,39.92118733,29.75307123,,,,,,,,,,,,,,,,,,
30.373372,72.16115105,3.331352381,762.2804233,27.11139416,40.2772354,30.07076019,,,,,,,,,,,,,,,,,,
30.327428,72.16115105,3.331352381,762.2804233,27.07105707,40.22982561,30.02844787,,,,,,,,,,,,,,,,,,
30.028272,72.16115105,3.331352381,762.2804233,26.80858081,39.92118733,29.75307123,,,,,,,,,,,,,,,,,,
30.028272,72.16115105,3.331352381,762.2804233,26.80858081,39.92118733,29.75307123,,,,,,,,,,,,,,,,,,
27.727402,72.16115105,3.331352381,762.2804233,24.77415581,37.550929,27.62483507,,,,,,,,,,,,,,,,,,
30.327428,72.16115105,3.331352381,762.2804233,27.07105707,40.22982561,30.02844787,,,,,,,,,,,,,,,,,,
30.327428,72.16115105,3.331352381,762.2804233,27.07105707,40.22982561,30.02844787,,,,,,,,,,,,,,,,,,
30.327428,72.16115105,3.331352381,762.2804233,27.07105707,40.22982561,30.02844787,,,,,,,,,,,,,,,,,,
30.028272,72.16115105,3.331352381,762.2804233,26.80858081,39.92118733,29.75307123,,,,,,,,,,,,,,,,,,
30.028272,72.16115105,3.331352381,762.2804233,26.80858081,39.92118733,29.75307123,,,,,,,,,,,,,,,,,,
30.274946,72.16115105,3.331352381,762.2804233,27.02498841,40.17567234,29.98012095,,,,,,,,,,,,,,,,,,
30.274946,72.16115105,3.331352381,762.2804233,27.02498841,40.17567234,29.98012095,,,,,,,,,,,,,,,,,,
30.327428,72.16115105,3.331352381,762.2804233,27.07105707,40.22982561,30.02844787,,,,,,,,,,,,,,,,,,
27.443805,72.16115105,3.331352381,762.2804233,24.52645202,37.25920733,27.36473838,,,,,,,,,,,,,,,,,,
21.345269,72.16115105,3.331352381,762.2804233,19.15765462,31.0241643,21.74971799,,,,,,,,,,,,,,,,,,
21.345269,72.16115105,3.331352381,762.2804233,19.15765462,31.0241643,21.74971799,,,,,,,,,,,,,,,,,,
28.273706,72.16115105,3.331352381,762.2804233,25.25201058,38.11314626,28.12640726,,,,,,,,,,,,,,,,,,
28.273706,72.16115105,3.331352381,762.2804233,25.25201058,38.11314626,28.12640726,,,,,,,,,,,,,,,,,,
16.275043,72.16115105,3.331352381,762.2804233,14.73680621,25.85071964,17.11341257,,,,,,,,,,,,,,,,,,
30.29907,77.2521321,3.327670046,556.6247582,27.60233711,37.51436454,29.85441588,,,,,,,,,,,,,,,,,,
30.29907,77.2521321,3.327670046,556.6247582,27.60233711,37.51436454,29.85441588,,,,,,,,,,,,,,,,,,
30.29907,77.2521321,3.327670046,556.6247582,27.60233711,37.51436454,29.85441588,,,,,,,,,,,,,,,,,,
29.725254,77.2521321,3.327670046,556.6247582,27.06380985,36.91902398,29.30099709,,,,,,,,,,,,,,,,,,
30.29907,77.2521321,3.327670046,556.6247582,27.60233711,37.51436454,29.85441588,,,,,,,,,,,,,,,,,,
29.980852,77.2521321,3.327670046,556.6247582,27.29554136,37.18415824,29.5417958,,,,,,,,,,,,,,,,,,
29.980852,77.2521321,3.327670046,556.6247582,27.29554136,37.18415824,29.5417958,,,,,,,,,,,,,,,,,,
